ISO3,Name,Year,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements
AB9,Abyei Area,2015,82000,,
AFG,Afghanistan,2015,1174000,335000,71000
AGO,Angola,2015,,,5600
ALB,Albania,2015,,,4200
ARG,Argentina,2015,,,36000
ARM,Armenia,2015,8400,,
AUS,Australia,2015,,,5700
AZE,Azerbaijan,2015,564000,,
BDI,Burundi,2015,99000,23000,3100
BFA,Burkina Faso,2015,,,3700
BGD,Bangladesh,2015,426000,,531000
BGR,Bulgaria,2015,,,820
BHS,"Bahamas, The",2015,,,2800
BIH,Bosnia and Herzegovina,2015,98000,,320
BLZ,Belize,2015,,,250
BOL,Bolivia,2015,,,11000
BRA,Brazil,2015,,,59000
BTN,Bhutan,2015,,,2900
BWA,Botswana,2015,,,250
CAF,Central African Republic,2015,452000,210000,1100
CAN,Canada,2015,,,13000
CHE,Switzerland,2015,,,360
CHL,Chile,2015,,,1047000
CHN,China,2015,,,3602000
CIV,C™te d'Ivoire,2015,303000,3200,
CMR,Cameroon,2015,124000,71000,11000
COD,"Congo, Dem. Rep.",2015,1500000,621000,106000
COG,"Congo, Rep",2015,7800,,
COL,Colombia,2015,6270000,224000,4600
CPV,Cabo Verde,2015,,,190
CRI,Costa Rica,2015,,,1100
CUB,Cuba,2015,,,2000
CYP,Cyprus,2015,272000,,
DMA,Dominica,2015,,,710
DOM,Dominican Republic,2015,,,28000
DZA,Algeria,2015,,,19000
ECU,Ecuador,2015,,,1900
EGY,"Egypt, Arab Rep.",2015,78000,78000,100
ESP,Spain,2015,,,4100
ETH,Ethiopia,2015,450000,56000,104000
FRA,France,2015,,,120
FSM,"Micronesia, Fed. Sts.",2015,,,6800
GBR,United Kingdom,2015,,,6100
GEO,Georgia,2015,239000,,1200
GHA,Ghana,2015,,,9300
GIN,Guinea,2015,,,34000
GRC,Greece,2015,,,270
GTM,Guatemala,2015,251000,,2900
HND,Honduras,2015,174000,,2000
HRV,Croatia,2015,,,1000
HTI,Haiti,2015,,,1500
IDN,Indonesia,2015,6100,150,204000
IND,India,2015,612000,1000,3655000
IRL,Ireland,2015,,,1600
IRN,"Iran, Islamic Rep.",2015,,,5400
IRQ,Iraq,2015,3290000,1114000,23000
ISR,Israel,2015,,,
ITA,Italy,2015,,,1300
JPN,Japan,2015,,,486000
KAZ,Kazakhstan,2015,,,19000
KEN,Kenya,2015,309000,,105000
KGZ,Kyrgyz Republic,2015,,,5900
KHM,Cambodia,2015,,,8900
KIR,Kiribati,2015,,,2500
LAO,Lao PDR,2015,,,12000
LBN,Lebanon,2015,12000,3000,110
LBY,Libya,2015,500000,100000,
LKA,Sri Lanka,2015,44000,,66000
MDG,Madagascar,2015,,,87000
MEX,Mexico,2015,287000,6000,91000
MKD,"Macedonia, FYR",2015,200,,
MLI,Mali,2015,50000,,400
MMR,Myanmar,2015,644000,16000,1618000
MNG,Mongolia,2015,,,810
MOZ,Mozambique,2015,,,61000
MUS,Mauritius,2015,,,1400
MWI,Malawi,2015,,,343000
MYS,Malaysia,2015,,,21000
NAM,Namibia,2015,,,8
NER,Niger,2015,153000,47000,38000
NGA,Nigeria,2015,2096000,737000,100000
NIC,Nicaragua,2015,,,1100
NOR,Norway,2015,,,220
NPL,Nepal,2015,50000,,2623000
NZL,New Zealand,2015,,,440
PAK,Pakistan,2015,1459000,,1002000
PAN,Panama,2015,,,100
PER,Peru,2015,60000,,8400
PHL,Philippines,2015,62000,288000,2221000
PNG,Papua New Guinea,2015,6300,,
PRK,"Korea, Dem. Rep.",2015,,,6000
PRT,Portugal,2015,,,10
PRY,Paraguay,2015,,,171000
PSE,Palestine,2015,221000,740,10000
ROU,Romania,2015,,,160
RUS,Russian Federation,2015,27000,,6600
RWA,Rwanda,2015,,,2000
SDN,Sudan,2015,3182000,144000,8300
SEN,Senegal,2015,24000,,
SLB,Solomon Islands,2015,,,1000
SLV,El Salvador,2015,,170000,2000
SOM,Somalia,2015,1223000,90000,59000
SSD,South Sudan,2015,1697000,199000,15000
SWE,Sweden,2015,,,100
SYR,Syrian Arab Republic,2015,6600000,1300000,
TCD,Chad,2015,107000,36000,
TGO,Togo,2015,3000,,5000
THA,Thailand,2015,35000,,240
TJK,Tajikistan,2015,,,11000
TLS,Timor-Leste,2015,,,310
TUN,Tunisia,2015,,,120
TUR,Turkey,2015,954000,,1500
TUV,Tuvalu,2015,,,5400
TWN,"Taiwan, China",2015,,,27000
TZA,Tanzania,2015,,,3500
UGA,Uganda,2015,30000,,600
UKR,Ukraine,2015,1679000,942000,
URY,Uruguay,2015,,,24000
USA,United States,2015,,,63000
VEN,"Venezuela, RB",2015,,,45000
VNM,Vietnam,2015,,,9600
VUT,Vanuatu,2015,,,65000
WSM,Samoa,2015,,,970
XKX,Kosovo,2015,17000,,
YEM,"Yemen, Rep.",2015,2509000,2175000,83000
ZAF,South Africa,2015,,,14
ZMB,Zambia,2015,,,25
ZWE,Zimbabwe,2015,,,800