country_name,country_code,control_of_corruption
Afghanistan,AFG,-1.341970086
Albania,ALB,-0.479021192
Algeria,DZA,-0.662879586
American Samoa,ASM,1.218488932
Andorra,AND,1.218488932
Angola,AGO,-1.394753456
Anguilla,AIA,1.218488932
Antigua and Barbuda,ATG,0.689627349
Argentina,ARG,-0.547045171
Armenia,ARM,-0.533811212
Aruba,ABW,1.29709661
Australia,AUS,1.882090449
Austria,AUT,1.519258499
Azerbaijan,AZE,-0.929962456
"Bahamas, The",BHS,1.135777473
Bahrain,BHR,0.138852224
Bangladesh,BGD,-0.808318794
Barbados,BRB,1.490511537
Belarus,BLR,-0.335035771
Belgium,BEL,1.573288798
Belize,BLZ,-0.222508013
Benin,BEN,-0.560777724
Bermuda,BMU,1.218488932
Bhutan,BTN,1.022311449
Bolivia,BOL,-0.696357191
Bosnia and Herzegovina,BIH,-0.393897533
Botswana,BWA,0.849635243
Brazil,BRA,-0.396478355
Brunei Darussalam,BRN,0.572453856
Bulgaria,BGR,-0.264636964
Burkina Faso,BFA,-0.283615232
Burundi,BDI,-1.242423058
Cabo Verde,CPV,0.949543476
Cambodia,KHM,-1.117967606
Cameroon,CMR,-1.074333429
Canada,CAN,1.88655889
Cayman Islands,CYM,1.019112229
Central African Republic,CAF,-1.308037281
Chad,TCD,-1.363942981
Chile,CHL,1.27995646
China,CHN,-0.282098532
Colombia,COL,-0.29816556
Comoros,COM,-0.719098568
"Congo, Dem. Rep.",COD,-1.285241485
"Congo, Rep.",COG,-1.196016788
Cook Islands,COK,..
Costa Rica,CRI,0.748421431
Cote d'Ivoire,CIV,-0.433069408
Croatia,HRV,0.245227292
Cuba,CUB,0.070488244
Cyprus,CYP,1.007434011
Czech Republic,CZE,0.433734417
Denmark,DNK,2.211048841
Djibouti,DJI,-0.657611907
Dominica,DMA,0.623419344
Dominican Republic,DOM,-0.818429589
Ecuador,ECU,-0.67123884
"Egypt, Arab Rep.",EGY,-0.642629683
El Salvador,SLV,-0.423664808
Equatorial Guinea,GNQ,-1.765860438
Eritrea,ERI,-1.301119447
Estonia,EST,1.293634295
Ethiopia,ETH,-0.450164944
Fiji,FJI,0.169921458
Finland,FIN,2.275295973
France,FRA,1.305651546
French Guiana,GUF,1.019112229
Gabon,GAB,-0.714149475
"Gambia, The",GMB,-0.770209014
Georgia,GEO,0.679609179
Germany,DEU,1.837866783
Ghana,GHA,-0.197833717
Greece,GRC,-0.076607928
Greenland,GRL,1.19053793
Grenada,GRD,0.556010067
Guam,GUM,1.218488932
Guatemala,GTM,-0.733183742
Guinea,GIN,-0.986487746
Guinea-Bissau,GNB,-1.482566833
Guyana,GUY,-0.635309577
Haiti,HTI,-1.237499833
Honduras,HND,-0.566694617
"Hong Kong SAR, China",HKG,1.651295543
Hungary,HUN,0.148638025
Iceland,ISL,1.939086556
India,IND,-0.352008492
Indonesia,IDN,-0.458355933
"Iran, Islamic Rep.",IRN,-0.604570687
Iraq,IRQ,-1.368854642
Ireland,IRL,1.615352988
Israel,ISR,0.942997754
Italy,ITA,0.016268654
Jamaica,JAM,-0.231597006
Japan,JPN,1.569163561
"Jersey, Channel Islands",JEY,1.19053793
Jordan,JOR,0.2600739
Kazakhstan,KAZ,-0.852624595
Kenya,KEN,-1.008768797
Kiribati,KIR,0.220115751
"Korea, Dem. People’s Rep.",PRK,-1.247925758
"Korea, Rep.",KOR,0.373621315
Kosovo,XKX,-0.535536468
Kuwait,KWT,-0.225088716
Kyrgyz Republic,KGZ,-1.149693012
Lao PDR,LAO,-0.911583006
Latvia,LVA,0.4681741
Lebanon,LBN,-0.883750379
Lesotho,LSO,0.06802655
Liberia,LBR,-0.647266626
Libya,LBY,-1.616902709
Liechtenstein,LIE,2.064363241
Lithuania,LTU,0.617650509
Luxembourg,LUX,2.096661568
"Macao SAR, China",MAC,0.611759305
"Macedonia, FYR",MKD,-0.256072164
Madagascar,MDG,-0.848951161
Malawi,MWI,-0.762178659
Malaysia,MYS,0.235073954
Maldives,MDV,-0.479377955
Mali,MLI,-0.68613261
Malta,MLT,0.900366247
Marshall Islands,MHL,-0.115129687
Martinique,MTQ,1.218488932
Mauritania,MRT,-0.923295498
Mauritius,MUS,0.300832063
Mexico,MEX,-0.765919805
"Micronesia, Fed. Sts.",FSM,0.680440605
Moldova,MDA,-0.911234438
Monaco,MCO,..
Mongolia,MNG,-0.491614044
Montenegro,MNE,-0.131804168
Morocco,MAR,-0.220332846
Mozambique,MOZ,-0.748843312
Myanmar,MMR,-0.836168349
Namibia,NAM,0.315799117
Nauru,NRU,-0.524677753
Nepal,NPL,-0.578034759
Netherlands,NLD,1.884274602
Netherlands Antilles,ANT,..
New Zealand,NZL,2.275603294
Nicaragua,NIC,-0.888269782
Niger,NER,-0.641647696
Nigeria,NGA,-1.083716273
Niue,NIU,..
Norway,NOR,2.242776155
Oman,OMN,0.268915087
Pakistan,PAK,-0.810739458
Palau,PLW,-0.524677753
Panama,PAN,-0.370722234
Papua New Guinea,PNG,-0.939784527
Paraguay,PRY,-0.94699657
Peru,PER,-0.533828318
Philippines,PHL,-0.453459442
Poland,POL,0.669516563
Portugal,PRT,0.964715838
Puerto Rico,PRI,0.086151943
Qatar,QAT,0.891468287
Reunion,REU,0.632476032
Romania,ROU,-0.017641444
Russian Federation,RUS,-0.949134231
Rwanda,RWA,0.635707915
Samoa,WSM,0.291007251
San Marino,SMR,..
Sao Tome and Principe,STP,-0.045158159
Saudi Arabia,SAU,0.05213923
Senegal,SEN,0.060930226
Serbia,SRB,-0.267041594
Seychelles,SYC,0.883601069
Sierra Leone,SLE,-0.793377042
Singapore,SGP,2.092689753
Slovak Republic,SVK,0.177863732
Slovenia,SVN,0.772991776
Solomon Islands,SLB,-0.340828776
Somalia,SOM,-1.615134954
South Africa,ZAF,0.032504108
South Sudan,SSD,-1.687486291
Spain,ESP,0.583896518
Sri Lanka,LKA,-0.344145656
St. Kitts and Nevis,KNA,0.504498124
St. Lucia,LCA,0.617759764
St. Vincent and the Grenadines,VCT,0.674695849
Sudan,SDN,-1.487211943
Suriname,SUR,-0.239103839
Swaziland,SWZ,-0.387836426
Sweden,SWE,2.241100788
Switzerland,CHE,2.136446953
Syrian Arab Republic,SYR,-1.545692086
"Taiwan, China",TWN,0.773740649
Tajikistan,TJK,-1.125687242
Tanzania,TZA,-0.682069421
Thailand,THA,-0.493388325
Timor-Leste,TLS,-0.521616638
Togo,TGO,-0.725685239
Tonga,TON,-0.467383295
Trinidad and Tobago,TTO,-0.300722331
Tunisia,TUN,-0.072226919
Turkey,TUR,-0.154374734
Turkmenistan,TKM,-1.346609712
Tuvalu,TUV,-0.032991812
Uganda,UGA,-1.052032351
Ukraine,UKR,-0.979897141
United Arab Emirates,ARE,1.071916342
United Kingdom,GBR,1.876348734
United States,USA,1.396919131
Uruguay,URY,1.316839099
Uzbekistan,UZB,-1.261937737
Vanuatu,VUT,-0.116807334
"Venezuela, RB",VEN,-1.391296983
Vietnam,VNM,-0.426185668
Virgin Islands (U.S.),VIR,0.632476032
West Bank and Gaza,PSE,-0.453321278
"Yemen, Rep.",YEM,-1.474036217
Zambia,ZMB,-0.339607358
Zimbabwe,ZWE,-1.304160357
,,
,,
,,
Data from database: Worldwide Governance Indicators,,
Last Updated: 10/19/2016,,