code,elev
AFG,1884.71
AGO,1112.805
ALB,911.4299
ARE,148.9142
ARG,595.62
ARM,1792.034
AUS,272.4731
AUT,898.7706
AZE,750.5538
BDI,1504.207
BEL,181.7746
BEN,273.4081
BFA,297.8957
BGD,85.4761
BGR,421.2224
BIH,702.2336
BLR,160.8277
BLZ,173.3061
BOL,1192.57
BRA,319.2997
BRN,478.7564
BTN,2220.219
BWA,1013.629
CAF,635.7053
CAN,487.6221
CHE,1369.6
CHL,1871.129
CHN,1839.95
CIV,250.7441
CMR,667.4828
COG,430.1534
COL,593.12
CRI,746.2103
CUB,108.2346
CYP,9.1667
CZE,433.0312
DEU,270.8496
DJI,430.256
DNK,34.2589
DOM,424.8582
DZA,572.8028
ECU,1117.178
EGY,321.5979
ERI,853.3859
ESP,704.6398
EST,61.9125
ETH,1330.062
FIN,164.483
FRA,375.12
GAB,377.5402
GBR,162.5733
GEO,1432.375
GHA,190.3197
GIN,472.8062
GMB,34.4685
GNB,70.4717
GNQ,577.8627
GRC,498.576
GRL,1792.64
GTM,759.6279
GUF,168.1815
GUY,207.0553
HND,684.9241
HRV,331.5601
HTI,470.0736
HUN,143.5822
IDN,367.1235
IND,621.8081
IRL,112.422
IRN,1305.438
IRQ,312.0478
ISL,557.4451
ISR,508.4611
ITA,538.7296
JAM,18.125
JOR,812.3271
JPN,438.3172
KAZ,387.1949
KEN,762.8491
KGZ,2988.048
KHM,126.4433
KOR,282.3633
KWT,108.2327
LAO,710.2068
LBN,1249.193
LBR,243.6676
LBY,423.6434
LKA,228.2774
LSO,2160.854
LTU,110.2539
LUX,325.02
LVA,95.893
MAR,909.5137
MDA,139.3979
MDG,615.2372
MEX,1110.936
MKD,741.545
MLI,343.7438
MMR,702.4269
MNG,1527.99
MON,1086.725
MOZ,345.2476
MRT,276.0194
MWI,779.0389
MYS,419.6467
NAM,1141.045
NER,474.3347
NGA,380.1505
NIC,298.3099
NLD,30.1257
NOR,566.7679
NPL,2565.382
NZL,388.3524
OMN,310.0209
PAK,1018.028
PAN,359.6746
PER,1555.255
PHL,441.9939
PNG,667.6198
POL,171.6889
PRI,261.597
PRK,599.3386
PRT,372.4704
PRY,178.6918
QAT,27.8971
ROM,414.0516
RUS,372.5321
RWA,1598.151
SAU,665.2062
SDN,568.4538
SEN,69.0371
SLE,279.3589
SLV,442.0164
SOM,409.9049
SRB,442.0694
SUR,246.0742
SVK,458.604
SVN,492.6379
SWE,320.0909
SWZ,305.4435
SYR,513.9543
TCD,543.3225
TGO,236.986
THA,287.408
TJK,3185.92
TKM,229.8245
TTO,83.275
TUN,246.5449
TUR,1167.001
TWN,1150.337
TZA,1018.109
UGA,1200.948
UKR,176.7859
URY,109.6395
USA,725.6519
UZB,420.015
VEN,448.6651
VNM,398.3443
WSH,256.8514
YEM,999.8261
ZAF,1034.837
ZAR,726.0577
ZMB,1138.441
ZWE,961.7211