,Country,score,C,E,P,S,X,code,elev,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,control_of_corruption,government_effectiveness,political_stability,rule_of_law,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,voice_and_accountability
101,Montenegro,5,17.6,11.1,11.8,7.8,5.9,MNE,,,,,0.646840149,0.646840149,-0.131804168,0.155747339,0.140797719,0.051777143,-2.1,-0.75,2.53,6.87,11.6,14.97,17.55,17.54,13.96,8.87,3.89,-0.06,7.91,0.144006342
102,Morocco,9.5,19.4,19.2,19.2,10.8,6,MAR,909.5137,,,,18.21644634,18.21644634,-0.220332846,-0.061943848,-0.341487437,-0.088940836,9.68,11.17,13.09,15.1,18.61,22.22,26.01,25.86,22.71,18.22,13.74,10.29,17.23,-0.628278553
103,Mozambique,32.5,19.8,23.8,22.3,13.7,7.3,MOZ,345.2476,,,61000,7.184821588,7.184821588,-0.748843312,-0.746266305,-0.513895094,-0.848796844,26.03,25.89,25.48,24.15,22.04,20,19.63,20.99,23.13,24.98,25.93,26.03,23.69,-0.270031184
104,Myanmar,23.5,26.3,20.4,25.9,15.1,7,MMR,702.4269,644000,16000,1618000,16.65798983,16.65798983,-0.836168349,-1.238607645,-1.165066719,-1.236542463,18,19.74,22.74,25.39,25.75,25.18,24.91,24.82,24.89,24.01,21.43,18.62,22.96,-1.218918324
105,Namibia,31.8,14.3,21.7,15.4,12.5,6.9,NAM,1141.045,,,8,0.971711062,0.971711062,0.315799117,0.253775209,0.733112812,0.190016076,24.26,23.61,22.67,20.33,17.16,14.44,14.14,16.06,19.24,21.58,23.01,23.96,20.04,0.571722925
106,Nepal,22.2,24.4,21.3,21.9,15.5,7.4,NPL,2565.382,50000,,2623000,14.74502965,14.74502965,-0.578034759,-1.053640604,-0.998334587,-0.676831722,4.16,5.63,10.02,14.25,16.82,18.83,18.81,18.59,17.35,13.73,9.16,5.57,12.74,-0.415425479
107,Nicaragua,13.6,18.9,22.2,19.8,10.8,7.3,NIC,298.3099,,,1100,12.49792255,12.49792255,-0.888269782,-0.815875173,-0.086607538,-0.73610878,23.3,23.97,24.95,25.72,25.81,25.07,24.93,24.77,24.72,24.54,23.79,23.51,24.59,-0.414739907
108,Niger,34.5,25.1,23.5,23.6,17.5,8.1,NER,474.3347,153000,47000,38000,13.26280887,13.26280887,-0.641647696,-0.605987728,-1.066546202,-0.579464018,19.05,21.91,26.01,30.29,32.73,32.79,31.24,30.32,30.35,28.47,23.66,20.04,27.24,-0.212657124
109,Nigeria,32.8,29.6,23.5,27,16.3,6,NGA,380.1505,2096000,737000,100000,37.33104955,37.33104955,-1.083716273,-0.96267271,-1.925442815,-0.961073756,24.6,27.01,29.13,29.89,28.94,27.31,25.85,25.38,25.93,26.78,25.92,24.67,26.78,-0.366597325
110,Oman,,14.3,10.6,17.9,7,2.2,OMN,310.0209,,,,0.122778675,0.122778675,0.268915087,0.081546336,0.783339798,0.376893491,19.92,20.78,23.4,26.72,29.47,30.05,28.69,27.61,27.45,26.25,23.83,21.29,25.45,-1.061398745
111,Pakistan,33.9,28.8,22,24.9,17.9,9.3,PAK,1018.028,1459000,,1002000,39.48733914,39.48733914,-0.810739458,-0.667473018,-2.482707977,-0.766665697,8.67,10.67,16.01,21.59,25.85,28.98,28.66,27.62,25.28,20.86,15.25,10.33,19.98,-0.722032487
112,Panama,9.6,13.2,14.7,14.3,9.2,3.2,PAN,359.6746,,,100,7.573311811,7.573311811,-0.370722234,0.292337388,0.386077255,-0.106349006,24.18,24.53,25.44,25.7,25.56,24.85,25.12,24.71,24.34,24.3,23.96,23.99,24.72,0.558467448
113,Papua New Guinea,,20.3,22.3,22.2,11.9,6.7,PNG,667.6198,6300,,,0.662456388,0.662456388,-0.939784527,-0.606489778,-0.422148317,-0.869289815,25.47,25.39,25.35,25.28,25.15,24.5,24.06,24.27,24.75,25.25,25.56,25.6,25.05,0.044731397
114,Paraguay,10.5,20.2,18.7,19.9,8.1,4.4,PRY,178.6918,,,171000,12.08155047,12.08155047,-0.94699657,-0.948369682,0.038498022,-0.691573739,27.74,27.08,25.84,23.1,20.4,18.34,18.57,20.3,22.3,24.7,26.09,27.3,23.48,-0.069941297
115,Peru,9.1,21.3,17.7,18.8,10.1,4,PER,1555.255,60000,,8400,3.2434375,3.2434375,-0.533828318,-0.276903689,-0.397571415,-0.48545754,20.09,20.09,19.99,19.78,19.21,18.37,18.05,18.73,19.29,19.75,20.08,20.04,19.46,0.227344468
116,Philippines,20.1,25.4,18.4,20.6,15.6,6.3,PHL,441.9939,62000,288000,2221000,18.74769427,18.74769427,-0.453459442,0.112366773,-0.855662465,-0.342897713,24.06,24.31,25.13,26.15,26.55,26.02,25.6,25.52,25.56,25.44,25.07,24.52,25.33,0.147050843
117,Qatar,,12.1,10.9,14,6.1,3.2,QAT,27.8971,,,,1.12833764,1.12833764,0.891468287,0.955126643,0.996630371,0.770525932,17.27,18.31,21.78,26.09,31.12,33.88,34.85,34.5,32.43,29.12,24.34,19.31,26.92,-1.144710541
118,Romania,5.3,15.5,14.4,13.8,6.4,4.1,ROU,,,,160,38.06067455,38.06067455,-0.017641444,-0.056023832,0.189114437,0.157549575,-3.73,-1.37,3.4,9.39,14.41,17.55,19.19,18.81,15.18,9.73,4.14,-0.97,8.81,0.486097127
119,Russian Federation,6.6,,,,,,RUS,372.5321,27000,,6600,7.518031223,7.518031223,-0.949134231,-0.204350516,-1.029335141,-0.763637006,-27,-24.72,-16.57,-6.74,2.9,10.96,14.79,12.01,5.56,-5.33,-17.64,-24.07,-6.32,-1.087691426
120,Rwanda,30.3,23,22,21.5,15.9,7.8,RWA,1598.151,,,2000,46.68423186,46.68423186,0.635707915,-0.045735646,0.013241149,0.050420243,19.02,19.24,19.25,19.04,18.9,18.56,18.6,19.28,19.34,19.21,18.83,18.86,19.01,-1.135152102
121,Saudi Arabia,5.1,21.8,13.9,20.7,10.4,4.8,SAU,665.2062,,,,1.629072099,1.629072099,0.05213923,0.200066909,-0.626398981,0.117822453,15.35,17.14,20.6,24.53,28.89,31.59,32.04,32.08,30.21,25.85,20.83,16.7,24.65,-1.842594862
122,Senegal,23.2,19.1,22,19.6,15.8,6.5,SEN,69.0371,24000,,,16.62078637,16.62078637,0.060930226,-0.450297266,-0.116664805,-0.141723916,24.32,26.53,28.47,30.04,31.08,30.11,28.47,27.67,27.7,28.6,27.16,24.32,27.87,0.279269904
123,Serbia,7.1,22.1,17.3,15.3,12.5,6.6,SRB,442.0694,,,,29.62497142,29.62497142,-0.267041594,0.111243814,0.238982022,-0.117168836,-1.52,0.63,4.91,10.31,15.16,18.41,20.29,20.13,16.47,10.96,5.4,1.01,10.18,0.231035233
124,Sierra Leone,38.9,18.7,25.9,21.8,17.7,7.8,SLE,279.3589,,,,21.94513716,21.94513716,-0.793377042,-1.279705524,-0.102516763,-0.853527308,25.19,26.94,27.65,27.74,26.93,25.93,24.95,24.84,25.39,25.87,26,25.12,26.04,-0.264879495
125,Somalia,,29.2,27.3,28.6,19.4,9.5,SOM,409.9049,1223000,90000,59000,1.753435139,1.753435139,-1.615134954,-2.196963072,-2.380827904,-2.300122499,25.03,25.85,27.16,28,28.09,27.87,27.11,27.13,27.68,26.67,25.62,25,26.77,-2.00137043
126,South Africa,12.4,16.4,18.6,16,12.9,3.1,ZAF,1034.837,,,14,10.30426432,10.30426432,0.032504108,0.261675388,-0.212992936,0.088763915,23.19,22.66,21.1,17.74,14.24,11.16,11.07,12.97,16.03,18.31,20.48,22.2,17.6,0.654223859
127,South Sudan,,30,24.7,30,19.8,10,SSD,,1697000,199000,15000,..,,-1.687486291,-2.163179398,-2.37568903,-1.855479956,26.44,27.94,29.3,29.19,27.9,26.41,25.45,25.45,25.93,26.55,26.47,26.1,26.93,-1.594442725
128,Sri Lanka,25.5,26.3,21.3,22.4,14.2,6.4,LKA,228.2774,44000,,66000,20.73034604,20.73034604,-0.344145656,-0.00914478,0.090368114,0.037326247,25.13,25.86,27.03,27.79,28.07,27.7,27.4,27.24,27.13,26.61,25.82,25.28,26.76,-0.296132624
129,Sudan,,29,25.3,28,18.7,9.8,SDN,568.4538,3182000,144000,8300,8.343080808,8.343080808,-1.487211943,-1.46239388,-2.162183285,-1.208177567,20.43,22.18,25.65,28.78,30.98,31.26,29.84,29.35,29.36,28.35,24.44,21.27,26.82,-1.773252249
130,Suriname,10.4,17,20.7,16.2,8.3,6.2,SUR,246.0742,,,,0.416666667,0.416666667,-0.239103839,-0.345765233,0.256688297,-0.195376858,25.04,24.99,25.35,25.64,25.75,25.58,25.6,26.02,26.5,26.69,26.45,25.59,25.77,0.411360741
131,Swaziland,26,16.5,24.3,24.5,13.4,7.6,SWZ,305.4435,,,,10.1744186,10.1744186,-0.387836426,-0.53864646,-0.476151049,-0.324313819,24.2,23.99,23.06,20.69,18.35,15.72,15.91,17.62,19.77,20.62,21.78,23.26,20.41,-1.401209831
132,Syrian Arab Republic,,,,,,,SYR,513.9543,6600000,1300000,,25.3880085,25.3880085,-1.545692086,-1.590460181,-2.974081039,-1.4230479,6.12,7.95,11.46,16.37,21.49,25.99,28.73,28.44,25.2,19.6,12.74,7.67,17.65,-1.922374964
133,Tajikistan,30.3,22.5,19.3,22.6,12.6,6.4,TJK,3185.92,,,11000,5.259896531,5.259896531,-1.125687242,-0.848223448,-0.882642269,-1.055544376,-10.2,-8.83,-3.08,3.44,7.49,12.3,15.38,14.71,10.25,4,-2.08,-7.08,3.03,-1.569000721
134,Thailand,11.9,27.4,13.9,20.6,12.9,4.3,THA,287.408,35000,,240,32.90336472,32.90336472,-0.493388325,0.350277573,-0.99442929,-0.147704467,23.1,25.21,27.38,28.89,28.32,27.58,27.19,26.93,26.73,26.2,24.6,22.85,26.25,-0.969056308
135,Timor-Leste,40.7,22.5,22.1,21.6,15.7,8.7,TLS,,,,310,10.42367182,10.42367182,-0.521616638,-1.045524359,-0.271886349,-1.121528983,25.46,25.47,25.36,25.18,24.81,24.08,23.81,24.06,24.66,25.34,25.76,25.61,24.97,0.186130628
136,Togo,23,19.1,22.2,23.9,15.1,6.5,TGO,236.986,3000,,5000,48.72219158,48.72219158,-0.725685239,-1.189448237,-0.231348053,-0.798984945,26.69,28.55,29.31,28.81,27.6,26.01,25.01,24.83,25.36,26.34,26.84,26.24,26.8,-0.698528349
137,Tunisia,5.6,23.7,17.5,18.9,8.8,6.9,TUN,246.5449,,,120,18.66632338,18.66632338,-0.072226919,-0.103312753,-0.96038723,-0.061554465,10.44,11.86,14.21,17.39,21.68,25.98,28.75,28.69,25.67,20.69,15.46,11.56,19.36,0.242010027
138,Turkey,5.1,24,14.9,17.6,13,5,TUR,1167.001,954000,,1500,26.82457804,26.82457804,-0.154374734,0.22311984,-1.493914008,-0.113019049,-0.52,0.98,4.77,10.02,14.47,18.54,21.83,21.65,18.11,12.56,6.85,1.94,10.93,-0.36770758
139,Turkmenistan,12.9,21.7,17,24.6,9.6,4.6,TKM,229.8245,,,,4.128274424,4.128274424,-1.346609712,-0.850448787,-0.087798864,-1.417839885,1.01,2.62,8.53,16.07,22.18,26.86,29.35,27.33,21.91,14.46,8.76,3.56,15.22,-2.23740983
140,Uganda,27.6,25.2,21.6,24.2,17.7,8.3,UGA,1200.948,30000,,600,34.41053262,34.41053262,-1.052032351,-0.485693216,-0.804501653,-0.385777652,23.18,23.66,23.68,23.05,22.53,21.98,21.56,21.77,22.11,22.48,22.54,22.61,22.6,-0.57071203
141,Ukraine,5,22.9,16.7,18.7,8.9,9.1,UKR,176.7859,1679000,942000,,56.17484282,56.17484282,-0.979897141,-0.523523629,-1.961800098,-0.81355083,-5.15,-3.69,1.18,9.09,15.09,18.42,19.95,19.34,14.78,8.63,2.81,-1.98,8.21,-0.086803623
142,Uruguay,5.7,9.4,11.8,7,5.4,2.9,URY,109.6395,,,24000,13.77328305,13.77328305,1.316839099,0.529026389,1.004238248,0.712427437,23.9,23.37,21.26,17.88,14.84,11.77,11.79,12.78,14.33,16.95,19.62,22.3,17.57,1.143324971
143,Uzbekistan,13.3,24,20.1,24.1,12.1,5.1,UZB,420.015,,,,10.34320639,10.34320639,-1.261937737,-0.671784401,-0.373036414,-1.111207604,-3.03,-1.55,5.38,14.1,20.42,25.34,27.71,25.31,19.55,11.63,5.36,0.03,12.52,-1.956031203
144,Zambia,41.1,16.4,24.1,21.8,16.3,6.6,ZMB,1138.441,,,25,5.111717941,5.111717941,-0.339607358,-0.560079753,0.151694864,-0.22972478,22.89,22.94,22.9,21.91,19.58,17.36,17.07,19.47,22.92,24.67,24.19,23.11,21.58,-0.070258692
145,Zimbabwe,30.8,25.4,24.1,25.8,17.1,7.6,ZWE,961.7211,,,800,10.33992504,10.33992504,-1.304160357,-1.155711412,-0.618156314,-1.316628456,23.9,23.49,22.92,21.15,18.4,15.79,15.64,17.9,21.37,23.74,24.23,23.85,21.03,-1.167998791
146,Yemen,,28.8,24.9,26.6,18.3,9.5,YEM,999.8261,2509000,2175000,83000,2.363770669,,-1.474036217,-1.627152562,-2.680221558,-1.271081805,18.35,19.25,20.82,23.55,25.86,27.8,26.98,26.78,26.13,23.02,20.3,19.04,23.16,-1.523371577
147,Egypt,,25.9,19.3,23.9,13.8,7.1,EGY,321.5979,78000,78000,100,2.909096389,,-0.642629683,-0.75222075,-1.496645689,-0.594087958,12.93,14.6,17.83,22.44,26.26,28.82,29.12,29.1,27.28,24.1,18.68,14.28,22.12,-1.184813142
148,Solomon Islands,,21.1,22.8,20.6,13.4,8,SLB,,,,1000,0.714540907,0.714540907,-0.340828776,-1.024367094,0.660984755,-0.486201555,26.34,26.07,25.95,25.73,25.51,25.1,24.61,24.85,25.52,26,26.11,26.32,25.68,0.284497738
149,Gambia,,16.5,22.7,24.1,14.6,7.5,GMB,34.4685,,,,43.47826087,,-0.770209014,-0.903461635,0.019588569,-0.721325636,23.87,25.88,27.32,28.25,28.53,28.55,27.36,26.73,26.73,27.59,26.52,23.93,26.77,-1.45999217
150,Equatorial Guinea,,21.5,20.2,26.6,11,5.5,GNQ,577.8627,,,,4.278074866,4.278074866,-1.765860438,-1.417881489,-0.205352426,-1.456297636,24.57,25.1,25.04,24.79,24.72,23.76,22.75,22.82,23.77,23.92,24.13,24.14,24.13,-2.00014019
151,Bosnia and Herzegovina,,22,16.9,16.9,13.4,8.2,BIH,702.2336,98000,,320,20.09765625,20.09765625,-0.393897533,-0.545209169,-0.402437001,-0.281363338,-1.36,0.4,4.01,8.44,12.94,16.33,18.52,18.48,14.94,9.95,4.81,0.73,9.02,-0.098104686
152,Maldives,,18.5,16.1,22.1,10.5,7,MDV,,,,,13,13,-0.479377955,-0.375792742,0.420671523,-0.576264203,,,,,,,,,,,,,,-0.517891109
153,Sao Tome and Principe,,16.3,22.8,15.7,11,7.9,STP,,,,,9.0625,9.0625,-0.045158159,-0.750870883,0.144042566,-0.75607866,,,,,,,,,,,,,,0.280032039
154,Samoa,,14.8,20.8,15.7,8.3,8.6,WSM,,,,970,2.826855124,2.826855124,0.291007251,0.508672714,1.183973908,0.698486388,,,,,,,,,,,,,,0.735778809
155,Cyprus,,19.3,17.6,11.6,8.5,9.2,CYP,9.1667,272000,,,10.7034632,10.7034632,1.007434011,1.048837423,0.550866485,1.039922118,10.64,11.07,12.99,16.58,20.54,24.47,27.05,27.05,24.78,20.81,16.19,12.39,18.71,1.031512141
156,Belize,,14.2,18.6,15.6,10,6.9,BLZ,173.3061,,,250,3.419552828,3.419552828,-0.222508013,-0.684154153,0.043097582,-0.720960438,22.37,23.04,24.45,25.87,26.91,26.93,26.45,26.66,26.49,25.42,23.56,22.62,25.06,0.57808888
157,Grenada,,15,19.6,13.3,8.4,7.1,GRD,,,,,8.823529412,8.823529412,0.556010067,-0.196174711,0.790708482,0.144673064,,,,,,,,,,,,,,0.806000173
158,Brunei Darussalam,,18.9,15.2,17.9,6.9,4.1,BRN,478.7564,,,,0.948766603,0.948766603,0.572453856,1.060170531,1.242662311,0.407984078,25.34,25.47,25.92,26.45,26.51,26.26,26.04,26.08,26.05,25.92,25.48,25.69,25.93,-0.754111826
159,Seychelles,,16.8,16.1,13.5,8.2,7.5,SYC,,,,,0.326086957,0.326086957,0.883601069,0.4230102,0.688779771,0.201051995,,,,,,,,,,,,,,0.080095395
160,Trinidad and Tobago,,15.4,17.3,14.4,8,3.6,TTO,83.275,,,,4.873294347,4.873294347,-0.300722331,0.232600957,0.286114305,-0.115995876,24.72,24.85,25.38,26.12,26.6,26.15,26.06,26.31,26.52,26.41,26.02,25.22,25.86,0.480495065
161,Antigua and Barbuda,,12.8,17.3,14.3,7.6,5.8,ATG,,,,,9.090909091,9.090909091,0.689627349,0.227594227,1.004724503,0.589894295,,,,,,,,,,,,,,0.594947338
162,Greece,,13.2,14.5,13.8,5.2,5.9,GRC,498.576,,,270,17.25368503,17.25368503,-0.076607928,0.256199121,-0.230252355,0.267151922,4.74,5.8,8.19,11.93,16.42,20.48,22.95,22.77,19.52,14.55,10.21,6.29,13.66,0.651494741
163,Bahamas,,12.6,14.7,11.7,8.9,3.7,BHS,,,,2800,0.799200799,,1.135777473,0.712929964,0.907476485,0.597127914,21.65,21.88,23,24.21,25.77,27.23,27.95,27.99,27.68,26.45,24.44,22.52,25.06,0.951407492
164,Barbados,,12.6,16.2,8.6,6.5,5.4,BRB,,,,,25.58139535,25.58139535,1.490511537,1.025392413,1.135361314,1.095227122,,,,,,,,,,,,,,1.0964607
165,Hungary,,12.4,13.5,14.4,4.8,4,HUN,143.5822,,,,48.7374351,48.7374351,0.148638025,0.49741441,0.746297717,0.399943441,-2.03,0.85,5.44,10.72,15.49,18.52,20.11,19.7,16.13,10.81,4.89,0.11,10.06,0.559930801
166,United Arab Emirates,,10.6,9.6,16.4,6.7,2.9,ARE,148.9142,,,,0.448564593,0.448564593,1.071916342,1.50987184,0.759545386,0.640877128,18.43,19.43,22.61,26.58,30.62,32.46,33.8,33.55,31.74,28.34,24.06,20.28,26.83,-1.112367868
167,Italy,,14.2,11,9,6.8,2.2,ITA,538.7296,,,1300,22.44169443,22.44169443,0.016268654,0.448110193,0.3759197,0.275057644,3.32,4.35,6.52,9.61,13.78,17.52,20.31,20.14,17.19,12.86,8.01,4.4,11.5,1.034700036
168,Malta,,9.3,11.1,9.5,7.4,3.6,MLT,,,,,28.03125,28.03125,0.900366247,0.85062629,1.063938618,1.135597706,,,,,,,,,,,,,,1.202726364
169,Spain,,15.2,11.4,7.9,4.2,2.2,ESP,704.6398,,,4100,24.66445703,24.66445703,0.583896518,1.174265742,0.251491189,0.901602685,5.59,6.76,8.6,10.65,14.27,18.49,22.03,21.83,19.01,14.03,8.97,6.07,13.03,1.044758558
170,Poland,,10.5,12,8.5,6.1,2.7,POL,171.6889,,,,35.5563539,35.5563539,0.669516563,0.798975646,0.874852359,0.802068591,-2.82,-1.38,2.65,7.41,12.98,15.95,17.52,17.18,13.33,8.77,3.42,-0.58,7.87,1.039663672
171,Japan,,8.2,9.1,7.2,7.9,3.6,JPN,438.3172,,,486000,11.52348036,11.52348036,1.569163561,1.78481245,1.06512773,1.518730283,-1.27,-0.89,2.52,8.7,13.52,17.34,21.34,22.74,18.76,12.78,7.05,1.75,10.36,0.98798573
172,United States,,11.8,9.1,8.2,5.1,1.1,USA,725.6519,,,63000,16.64540384,16.64540384,1.396919131,1.463781953,0.678062379,1.59612298,-6.31,-4.29,0.06,5.87,12.09,17.12,19.94,18.85,14.41,7.7,0.38,-4.76,6.75,1.109744549
173,Singapore,,8.7,9.8,10.2,4,1.7,SGP,,,,,0.789844852,0.789844852,2.092689753,2.236756086,1.311752796,1.81349194,,,,,,,,,,,,,,-0.161821589
174,France,,11,10.7,5.6,5,1.4,FRA,375.12,,,120,33.74753679,33.74753679,1.305651546,1.437052965,0.106706373,1.41331923,3.11,4.22,6.37,9.1,12.72,16.1,18.6,18.23,15.78,11.75,6.69,3.87,10.54,1.206558228
175,United Kingdom,,11.6,9.7,5.9,5,1.2,GBR,162.5733,,,6100,24.84602984,24.84602984,1.876348734,1.744032383,0.517747939,1.813076496,2.99,2.97,4.66,6.74,9.82,12.77,14.44,14.29,12.21,9.47,5.52,3.85,8.31,1.297748923
176,Slovenia,,7.6,10.9,6.6,4.2,2.3,SVN,492.6379,,,,9.138530288,9.138530288,0.772991776,0.972628713,0.953392744,0.974581301,-2.09,-0.13,3.38,7.58,12.16,15.4,17.38,16.94,13.87,9.21,3.58,-0.79,8.04,0.98675704
177,Belgium,,10,9.6,5.2,4.1,1.5,BEL,181.7746,,,,27.39431968,27.39431968,1.573288798,1.438697577,0.587094605,1.463508606,1.95,2.62,5.23,8.15,12.4,15.43,17.24,17.18,14.43,10.68,5.76,3.11,9.51,1.387346864
178,Portugal,,6,10.2,6.8,4.2,2.5,PRT,372.4704,,,10,12.36141737,12.36141737,0.964715838,1.220576167,0.917840123,1.146607041,9.05,9.82,11.33,12.96,15.7,19.09,21.72,21.87,20.12,16.43,12.11,9.46,14.97,1.128600121
179,Germany,,8.7,8.3,4.3,5.5,1.3,DEU,270.8496,,,,33.96501165,33.96501165,1.837866783,1.73711729,0.699824274,1.795013547,-0.48,0.56,3.87,7.69,12.27,15.5,17.19,16.97,13.9,9.43,4.27,0.88,8.5,1.421901703
180,Netherlands,,8.3,8.7,3.5,5.1,1.2,NLD,30.1257,,,,30.66191748,30.66191748,1.884274602,1.832803488,0.926119328,1.944209576,1.99,2.37,4.95,7.56,11.98,14.72,16.55,16.64,13.9,10.35,5.92,3.49,9.2,1.561038971
181,Austria,,8.1,7.1,4.7,4.4,1.7,AUT,898.7706,,,,16.3118161,16.3118161,1.519258499,1.479387999,1.143079281,1.855263472,-3.52,-1.99,1.42,5.51,10.12,13.29,15.26,14.98,12.09,7.55,1.73,-2.21,6.19,1.383440137
182,Canada,,8.6,7,4.7,4.4,1,CAN,487.6221,,,13000,4.795332055,4.795332055,1.88655889,1.762370825,1.274697781,1.842076302,-24.62,-23.25,-18.72,-9.79,-0.29,7.24,11.11,9.52,3.45,-4.36,-14.5,-21.52,-7.14,1.46702826
183,Ireland,,5,9.6,4.6,3.6,1.9,IRL,112.422,,,1600,14.93685586,14.93685586,1.615352988,1.533348799,0.908455491,1.774914503,4.64,4.69,6,7.69,10.07,12.8,14.53,14.28,12.46,10.08,6.61,5.45,9.11,1.334583402
184,Australia,,8.1,5.8,5.5,3.9,1,AUS,272.4731,,,5700,6.004191453,6.004191453,1.882090449,1.564803481,0.884979844,1.825228572,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,1.355499983
185,Iceland,,4.1,8,3.7,3,4.6,ISL,557.4451,,,,1.206982544,1.206982544,1.939086556,1.492341518,1.308164477,1.667345166,-3.17,-2.72,-2.61,-0.46,3.06,6.38,8.29,7.57,4.29,1.21,-2.34,-3.28,1.35,1.376409292
186,New Zealand,,6.3,8.8,3.4,3,1.1,NZL,388.3524,,,440,2.240704873,2.240704873,2.275603294,1.884677529,1.525453329,2.001410484,14.94,15.05,13.6,10.72,7.58,5.26,4.57,5.72,7.61,9.67,11.53,13.46,9.98,1.554741502
