,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
132,Latvia,LVA,31419072948,13.4,13,11.2,6.9,3.5,95.893,0.958550274,,,,19.44355098,2.5,0.487268358,0.872382939,Latvia,0.849434912
133,Least developed countries: UN classification,LDC,9.38E+11,,,,,,,,,,,8.724345005,22.75697025,,,,
134,Lebanon,LBN,47833413749,26.8,17.3,19.8,14.6,8.4,1249.193,-0.37551415,20000,,1300,12.90322581,5.3,-1.697941303,-0.766248524,Lebanon,-0.420307428
135,Lesotho,LSO,2614566292,16.6,22.3,19,13.2,7.5,2160.854,-0.555181265,,,2600,8.969038208,14.4,-0.332812041,-0.20982334,Lesotho,0.161970541
136,Liberia,LBR,2013000000,21.6,22.9,22.5,17.6,9.7,243.6676,-1.343055606,23000,,650,5.1910299,41.2,-0.615449607,-0.80579406,Liberia,-0.275833428
137,Libya,LBY,..,24.8,18,24.6,11.4,9,423.6434,-1.691470146,400000,341000,,0.977528218,..,-2.353407145,-1.508693218,Libya,-1.113725781
138,Liechtenstein,LIE,6657170923,,,,,,,1.705178618,,,,14.5,..,1.458861828,1.743713021,Liechtenstein,1.395747304
139,Lithuania,LTU,48545251796,9.7,14.1,9.9,6.5,3,110.2539,0.982653379,,,,37.5131684,2.5,0.742136419,0.939177334,Lithuania,0.961591065
140,Low & middle income,LMY,2.87E+13,,,,,,,,,,,11.18645239,12.28118771,,,,
141,Low income,LIC,4.12E+11,,,,,,,,,,,9.524816546,27.01598988,,,,
142,Lower middle income,LMC,6.08E+12,,,,,,,,,,,17.39316022,13.6686245,,,,
143,Luxembourg,LUX,66327344189,8.5,6,4.5,3.7,1.9,325.02,1.65443325,,,,24.17374517,2.5,1.378323793,1.906487703,Luxembourg,1.554682136
144,"Macao SAR, China",MAC,55347998648,,,,,,,1.468456149,,,,..,7.3,1.206168532,0.951919615,"Macao SAR, China",-0.330553174
145,"Macedonia, FYR",MKD,11362272838,20,17.6,14.1,8.8,5.9,741.545,0.131663471,220,,,16.41554322,4.3,0.256382942,-0.052508973,"Macedonia, FYR",-0.14148204
146,Madagascar,MDG,10673516673,19.3,21.9,21.9,12.4,7.6,615.2372,-1.299321651,,,2800,6.015812994,39,-0.557235837,-0.740127504,Madagascar,-0.500305891
147,Malawi,MWI,6054750320,18.5,24.8,22.2,15.2,8.4,779.0389,-0.628111243,,,600,40.30547306,23.5,0.081093207,-0.286365271,Malawi,-0.064298145
148,Malaysia,MYS,3.38E+11,19.7,14.3,18.1,10,4.1,419.6467,1.115127206,,,256000,2.90366763,2.6,0.266619146,0.588295519,Malaysia,-0.360303104
149,Maldives,MDV,3697351594,19,16.8,22.2,10.7,6.7,,-0.361664385,,,,13,8.9,0.679096162,-0.530172229,Maldives,-0.372216314
150,Mali,MLI,14388360064,20.4,23.1,21.3,16.5,8.5,343.7438,-1.099087954,62000,19000,,5.254099771,4.9,-1.713988781,-0.644296169,Mali,-0.161402777
151,Malta,MLT,11217780149,9.7,11.4,10,8,3.9,,1.028361678,,,,28.03125,2.5,1.125496984,1.193639755,Malta,1.18426621
152,Marshall Islands,MHL,183121300,,,,,,,-1.558408737,,,1200,11.11111111,..,0.989585757,-0.222078681,Marshall Islands,1.154827714
153,Mauritania,MRT,5391475277,23.4,20.5,23.7,17.2,8.2,276.0194,-0.991504014,,,,0.436596488,5.7,-0.589508355,-0.860369444,Mauritania,-0.895422757
154,Mauritius,MUS,12803445934,9.8,12.9,11.6,6.9,4.9,,1.04363656,,,,36.94581281,5.2,0.667965949,0.912838042,Mauritius,0.940896153
155,Mexico,MEX,1.30E+12,18.8,17.4,18.1,11,5.8,1110.936,0.19623448,281000,9000,18000,11.82802541,4.4,-0.853918791,-0.422825068,Mexico,0.000316119
156,"Micronesia, Fed. Sts.",FSM,317999400,15.2,24.8,15.7,10.7,8.2,,-0.497500807,,,,2.857142857,..,0.984550714,-0.280935526,"Micronesia, Fed. Sts.",1.110941887
157,Middle East & North Africa,MEA,3.56E+12,,,,,,,,,,,4.705053679,8.028675285,,,,
158,Middle East & North Africa (excluding high income),MNA,1.59E+12,,,,,,,,,,,5.665352818,8.67396005,,,,
159,Middle East & North Africa (IDA & IBRD countries),TMN,1.58E+12,,,,,,,,,,,5.661890898,8.67396005,,,,
160,Middle income,MIC,2.83E+13,,,,,,,,,,,11.45988724,10.89480543,,,,
161,Moldova,MDA,7983271111,20.9,18.8,17.7,10.3,7.4,139.3979,-0.418404162,,,,55.27836933,8.1,-0.158987761,-0.247836754,Moldova,0.011545338
162,Monaco,MCO,..,,,,,,,..,,,,..,..,1.023347855,..,Monaco,0.993912756
163,Mongolia,MNG,12226514722,13.8,13.9,15.9,8.3,6.2,1527.99,-0.43550086,,,,0.365096939,18.3,0.791901171,-0.344739795,Mongolia,0.241444647
164,Montenegro,MNE,4587928884,17.6,11.4,12.7,8.4,5.6,,0.265190095,,,,0.649070632,2.5,0.219455272,0.081718199,Montenegro,0.160300255
165,Morocco,MAR,1.10E+11,19.4,19.5,19,11.3,5.2,909.5137,-0.074534334,,,1700,18.21644634,4.1,-0.446265608,-0.065144658,Morocco,-0.686271131
166,Mozambique,MOZ,16961127046,18.6,23.8,22.6,13.8,7.1,345.2476,-0.722668052,,,21000,7.184821588,26.8,-0.336002737,-0.810333848,Mozambique,-0.24599041
167,Myanmar,MMR,65446402659,25.9,20.4,25.6,15.5,6.9,702.4269,-1.279349566,645000,6200,81000,16.52018129,14.4,-1.087580681,-1.185658813,Myanmar,-1.343992472
168,Namibia,NAM,12786078004,13.7,22,15.7,12.9,7.2,1141.045,0.113697007,,,160,0.971711062,29.7,0.608740628,0.14784117,Namibia,0.55330056
169,Nauru,NRU,117020381.9,,,,,,,-0.568591774,,,,..,..,0.601334393,-1.009087205,Nauru,0.807397604
170,Nepal,NPL,20002968838,24.6,21.1,22.6,15.4,7.3,2565.382,-0.851541281,50000,,74000,14.74502965,8.2,-0.72459954,-0.649577558,Nepal,-0.430457085
171,Netherlands,NLD,8.80E+11,8.8,8.5,4,5.7,1.6,30.1257,1.817106485,,,,31.01810626,2.5,1.045115352,1.980402589,Netherlands,1.547281384
172,New Caledonia,NCL,..,,,,,,,,,,,0.341356674,8.4,,,,
173,New Zealand,NZL,2.01E+11,6.3,9.2,3.7,3.6,1.3,388.3524,1.932062387,,,,2.240704873,2.5,1.467927575,2.008776665,New Zealand,1.524383783
174,Nicaragua,NIC,11880438824,18.3,21.9,19.6,11,7.6,298.3099,-0.837903082,,,35000,12.49792255,17.1,-0.040780123,-0.712243497,Nicaragua,-0.395727456
175,Niger,NER,8229730067,24.8,22.6,24.4,17.5,8.6,474.3347,-0.696187019,11000,,47000,13.26280887,10,-1.175840497,-0.645743966,Niger,-0.195137009
176,Nigeria,NGA,5.68E+11,28.8,23.2,26.5,15.2,6,380.1505,-1.186016917,1075000,975000,3000,37.33104955,7.3,-2.130276442,-1.049235106,Nigeria,-0.586755931
177,North America,NAC,1.92E+13,,,,,,,,,,,10.83892422,2.501839185,,,,
178,Northern Mariana Islands,MNP,845000000,,,,,,,,,,,2.173913043,..,,,,
179,Norway,NOR,4.99E+11,7.6,5.6,3.8,4.5,1.5,566.7679,1.828457475,,,680,2.208106887,2.5,1.11995852,2.029048204,Norway,1.684087038
180,Not classified,INX,..,,,,,,,,,,,..,..,,,,
181,OECD members,OED,4.94E+13,,,,,,,,,,,11.33244276,2.70698668,,,,
182,Oman,OMN,81034395059,14.3,10.8,17.9,7.6,2.5,310.0209,0.265802741,,,,0.122778675,5.7,0.734907329,0.485807508,Oman,-1.090710998
183,Other small states,OSS,4.45E+11,,,,,,,,,,,2.057778835,15.29732152,,,,
184,Pacific island small states,PSS,8769297682,,,,,,,,,,,3.71005456,7.200934397,,,,
185,Pakistan,PAK,2.44E+11,29.4,22,24.7,17.6,9.3,1018.028,-0.755000889,1900000,907000,771000,39.48733914,20.7,-2.401279211,-0.760338485,Pakistan,-0.716023862
186,Palau,PLW,246436300,,,,,,,-0.568591774,,,,2.173913043,..,0.989585757,0.275592655,Palau,1.176770806
187,Panama,PAN,49165773100,12.6,15.5,14.5,9.6,3.5,359.6746,0.262119085,,,320,7.573311811,9.5,0.209008202,-0.059524875,Panama,0.505627871
188,Papua New Guinea,PNG,23003575201,20.1,23.2,21.9,12.5,6.4,667.6198,-0.612693727,7500,1200,21000,0.662456388,..,-0.339367092,-0.801755965,Papua New Guinea,0.012504078
189,Paraguay,PRY,30881166852,20.2,19,19.8,8.5,4.1,178.6918,-0.919168353,,,84000,12.08155047,12.4,-0.08862751,-0.673159599,Paraguay,-0.102842316
190,Peru,PER,2.01E+11,20.7,18.1,18.9,10.8,4.4,1555.255,-0.266777873,150000,,950,3.2434375,7.6,-0.550656915,-0.521067798,Peru,0.192517072
191,Philippines,PHL,2.85E+11,25.1,17.9,20.6,15.5,6.2,441.9939,0.193026796,78000,124000,5787000,18.74769427,14.3,-0.713820934,-0.31731075,Philippines,0.15926604
192,Poland,POL,5.45E+11,10.5,12.5,9.4,6.7,3,171.6889,0.827383578,,,,35.69025768,2.5,0.842940807,0.840595961,Poland,1.105112672
193,Portugal,PRT,2.30E+11,6,10.9,8.2,5,3,372.4704,0.988590837,,,,12.41209541,2.5,0.806274414,1.137530565,Portugal,1.107445598
194,Post-demographic dividend,PST,4.67E+13,,,,,,,,,,,12.0201384,2.51400589,,,,
195,Pre-demographic dividend,PRE,1.50E+12,,,,,,,,,,,9.193566983,19.68732042,,,,
196,Puerto Rico,PRI,..,,,,,,261.597,0.363210231,,,,6.877113867,..,0.819992661,0.767422557,Puerto Rico,0.776707172
197,Qatar,QAT,2.06E+11,12.7,11.4,14.4,6.7,3.7,27.8971,0.944795609,,,,1.12833764,..,0.977457762,0.864007652,Qatar,-1.133435845
198,Romania,ROU,1.99E+11,15.6,15.1,14.9,7,4.3,,-0.025993757,,,2200,38.15194715,2.5,0.049136128,0.165362,Romania,0.428126812
199,Russian Federation,RUS,2.06E+12,25.2,15.1,21.3,10.6,4.3,372.5321,-0.109315023,25000,,23000,7.518031223,2.5,-0.943617463,-0.741455436,Russian Federation,-1.044410229
200,Rwanda,RWA,8016288347,22.6,21.8,21.8,16.2,8.1,1598.151,-0.025332073,,,,46.59505472,38.5,-0.313469648,0.056870598,Rwanda,-1.111962318
201,Samoa,WSM,803589511.8,15.4,20.8,15.9,8.9,8.3,,0.454839766,,,86,2.826855124,3,1.12190485,0.717397809,Samoa,0.665029645
202,San Marino,SMR,1845561895,,,,,,,..,,,,16.66666667,..,0.989585757,..,San Marino,1.16579926
203,Sao Tome and Principe,STP,348899846.1,16.9,22.9,16.9,11.5,7.6,,-0.817302048,,,,9.0625,13.2,0.184183002,-0.792880535,Sao Tome and Principe,0.321446329
204,Saudi Arabia,SAU,7.56E+11,22.6,13.4,20.9,10.9,5.3,665.2062,0.207730904,,,,1.629072099,4.8,-0.285844654,0.132183999,Saudi Arabia,-1.882013559
205,Senegal,SEN,15304363138,19.7,21.1,20.4,15.4,6.2,69.0371,-0.403944403,24000,,,16.62078637,11.6,-0.198223099,-0.081823833,Senegal,0.29227981
206,Serbia,SRB,44210806366,22.2,17,15.4,10.7,6.7,442.0694,0.089616925,97000,,33000,29.79304825,5.7,0.184110776,-0.149681732,Serbia,0.212611303
207,Seychelles,SYC,1422530792,16.9,16.4,14.4,8.8,7.2,,0.360770196,,,7,0.326086957,..,0.361632437,0.126385927,Seychelles,-0.047514915
208,Sierra Leone,SLE,5015180977,18.7,25.1,22.2,16.5,7.4,279.3589,-1.243713737,,,,21.94513716,25.7,-0.104039676,-0.921858549,Sierra Leone,-0.286693156
209,Singapore,SGP,3.08E+11,8.8,10.4,10.5,4.2,2,,2.182617188,,,,0.789844852,..,1.186271429,1.824774981,Singapore,-0.098659426
210,Sint Maarten (Dutch part),SXM,..,,,,,,,,,,,..,..,,,,
211,Slovak Republic,SVK,1.01E+11,11.9,14.2,10.2,5.4,3.6,458.604,0.876235783,,,,28.99804517,3.3,1.039121151,0.496026099,Slovak Republic,0.959586143
212,Slovenia,SVN,49904928335,7.6,11,7.5,4,2.5,492.6379,1.005159855,,,,9.145481629,2.5,0.965773404,1.001514196,Slovenia,0.956106901
213,Small states,SST,5.25E+11,,,,,,,,,,,2.068140732,13.29689202,,,,
214,Solomon Islands,SLB,1156563123,21.5,22.1,20.9,13.4,8.5,,-1.068035007,,,9000,0.714540907,13.8,0.470224828,-0.502281189,Solomon Islands,0.226569712
215,Somalia,SOM,5647000000,28.7,26.7,28.5,19.5,9.2,409.9049,-2.445875883,1107000,89000,36000,1.753435139,..,-2.515828133,-2.349381208,Somalia,-2.114792585
216,South Africa,ZAF,3.51E+11,16.3,18.1,15.4,13.6,3.2,1034.837,0.341089219,,,3500,10.30426432,4,-0.146388963,0.182790428,South Africa,0.642118156
217,South Asia,SAS,2.58E+12,,,,,,,,,,,43.14313695,15.78267129,,,,
218,South Asia (IDA & IBRD),TSA,2.58E+12,,,,,,,,,,,43.14313695,15.78267129,,,,
219,South Sudan,SSD,13282084034,29.9,24.5,29.5,19.1,9.9,,-2.068171263,1498000,1304000,112000,..,..,-2.646576643,-1.822960019,South Sudan,-1.617889285
220,Spain,ESP,1.38E+12,15.8,11.8,8.6,5,1.9,704.6398,1.1597054,,,3800,24.54569081,2.5,0.243121743,0.952644229,Spain,0.993725598
221,Sri Lanka,LKA,79356456990,26.9,21.3,22.7,15,6.7,228.2774,0.053877641,90000,,152000,20.73034604,23,-0.330464035,-0.170083612,Sri Lanka,-0.667200983
222,St. Kitts and Nevis,KNA,847778185.2,,,,,,,-0.071792491,,,,19.23076923,..,0.572488189,0.0712336,St. Kitts and Nevis,1.121913314
223,St. Lucia,LCA,1551921037,,,,,,,-0.016265955,,,,4.918032787,17,0.816450417,0.567623079,St. Lucia,1.127577901
224,St. Martin (French part),MAF,..,,,,,,,,,,,..,..,,,,
225,St. Vincent and the Grenadines,VCT,727230734.8,,,,,,,0.131919056,,,,12.82051282,6,0.816450417,0.552873969,St. Vincent and the Grenadines,1.154827714
226,Sub-Saharan Africa,SSF,1.78E+12,,,,,,,,,,,8.976355726,19.4515441,,,,
227,Sub-Saharan Africa (excluding high income),SSA,1.78E+12,,,,,,,,,,,8.976524205,19.4515441,,,,
228,Sub-Saharan Africa (IDA & IBRD countries),TSS,1.78E+12,,,,,,,,,,,8.976355726,19.4515441,,,,
229,Sudan,SDN,82151588419,29.5,25,27.7,18.3,9.6,568.4538,-1.532044411,3100000,558000,187000,8.343080808,25.7,-2.363084555,-1.167488456,Sudan,-1.736627936
230,Suriname,SUR,5240606061,17.6,21.4,16.5,8.9,6.2,246.0742,-0.175923645,,,,0.416666667,8.1,0.249270841,-0.137176558,Suriname,0.516894996
231,Swaziland,SWZ,4377293816,16.3,23.3,24.5,13.9,7.8,305.4435,-0.562953532,,,,10.1744186,20.5,-0.500559747,-0.314296454,Swaziland,-1.333801031
232,Sweden,SWE,5.74E+11,5.2,5.6,3.9,5.4,1.3,320.0909,1.803889275,,,1000,6.353882792,2.5,1.065414786,1.992006302,Sweden,1.61108911
233,Switzerland,CHE,7.09E+11,6.2,7,4.3,4.2,1.6,1369.6,2.112257957,,,,10.12754327,2.5,1.402652621,1.994928122,Switzerland,1.559489489
234,Syrian Arab Republic,SYR,..,29.6,20.5,26.9,16,8.6,513.9543,-1.400044918,7600000,1100000,2300,25.3880085,..,-2.74882412,-1.362182021,Syrian Arab Republic,-1.878197074
235,Tajikistan,TJK,9236309138,22.5,19.7,23.1,12.6,6.7,3185.92,-0.782609403,,,460,5.259896531,30.5,-0.693340778,-1.011011243,Tajikistan,-1.495485544
236,Tanzania,TZA,48197218327,16.8,20.1,21,15.3,7.6,1018.109,-0.655045569,,,14000,15.2404606,30.6,-0.597118556,-0.395124078,Tanzania,-0.192261621
237,Thailand,THA,4.07E+11,25.4,13.5,19.4,14.1,4.6,287.408,0.337951154,35000,,27000,32.90336472,8.5,-0.906386316,-0.19136773,Thailand,-0.874782622
238,Timor-Leste,TLS,1450600000,23.1,21.3,21.9,15.9,8.8,,-1.18059504,900,2100,2300,10.42367182,27,-0.179694876,-1.121553183,Timor-Leste,0.148780629
239,Togo,TGO,4482880424,19.5,22,24.2,15.3,6.8,236.986,-1.249514103,10000,,,48.72219158,13.3,-0.167126864,-0.85721612,Togo,-0.766488612
240,Tonga,TON,443911052.3,,,,,,,-0.069148742,,,5300,25,..,0.84719646,-0.145887271,Tonga,0.663713038
241,Trinidad and Tobago,TTO,26175952942,15.4,18.2,15.3,8.5,3.9,83.275,0.272078156,,,,4.873294347,5.8,0.247864336,-0.09080527,Trinidad and Tobago,0.473085731
242,Tunisia,TUN,47587913059,23.2,17.3,21.3,9.1,6.6,246.5449,-0.119645528,,,,18.66632338,4.5,-0.851661503,-0.10967727,Tunisia,0.192784011
243,Turkey,TUR,9.34E+11,23.7,15.5,17.1,12.5,5.3,1167.001,0.365242243,954000,,480,26.90383691,2.5,-1.086035967,0.00512341,Turkey,-0.338419706
244,Turkmenistan,TKM,43524210526,21.5,17.1,24.5,10.2,4.9,229.8245,-0.842202842,4000,,,4.128274424,5.5,0.074206032,-1.364572048,Turkmenistan,-2.259158611
245,Turks and Caicos Islands,TCA,..,,,,,,,,,,,1.052631579,..,,,,
246,Tuvalu,TUV,37259689.92,,,,,,,-0.92668587,,,,..,..,1.299327254,0.373632431,Tuvalu,1.045113087
247,Uganda,UGA,27295207928,25.1,21.8,23.7,17.4,8,1200.948,-0.501476347,30000,,50000,34.41053262,36.4,-0.941126168,-0.38838008,Uganda,-0.584996819
248,Ukraine,UKR,1.34E+11,19.1,15.9,18,7.9,6.3,176.7859,-0.413418591,647000,647000,,56.15667455,2.5,-2.020833492,-0.790971577,Ukraine,-0.142231718
249,United Arab Emirates,ARE,4.03E+11,10.7,10.6,16.4,6.7,3.2,148.9142,1.435521245,,,,0.448564593,4,0.768908918,0.652227223,United Arab Emirates,-1.061368585
250,United Kingdom,GBR,3.02E+12,11.6,9.5,6.2,5.5,1.5,162.5733,1.626729727,,,620,25.76571736,2.5,0.415347636,1.889571428,United Kingdom,1.275789618
251,United States,USA,1.74E+13,11.2,8.8,8.4,5.7,1.3,725.6519,1.467586279,,,34000,16.86437269,2.5,0.582419634,1.610473037,United States,1.07122314
252,Upper middle income,UMC,2.22E+13,,,,,,,,,,,9.09964318,7.727118073,,,,
253,Uruguay,URY,57236013078,8.8,12.4,7.5,6,3.2,109.6395,0.482786238,,,4900,13.77328305,2.5,0.991879582,0.710575342,Uruguay,1.107863307
254,Uzbekistan,UZB,63067077179,23.8,21,24,12.1,5.4,420.015,-0.628321826,3400,,,10.34320639,6.5,-0.273108631,-1.129661798,Uzbekistan,-1.913251996
255,Vanuatu,VUT,814954307,,,,,,,-0.533902705,,,350,1.640689089,6.6,0.636045277,0.178619623,Vanuatu,0.591240466
256,"Venezuela, RB",VEN,4.82E+11,20.7,17.9,23,10.5,4.6,448.6651,-1.226763487,,,,3.061050961,9.1,-0.852002203,-1.916324377,"Venezuela, RB",-1.083764911
257,Vietnam,VNM,1.86E+11,18,17,21.1,11.2,5.4,398.3443,-0.070451654,,,68000,20.67113878,11.2,-0.022347357,-0.359818399,Vietnam,-1.374714971
258,Virgin Islands (U.S.),VIR,3624000000,,,,,,,1.207597971,,,,2.857142857,..,1.164254904,0.018862573,Virgin Islands (U.S.),..
259,West Bank and Gaza,PSE,12715600000,,,,,,,-0.487887532,275000,118000,200,10.63122924,..,-1.985010862,-0.38522175,West Bank and Gaza,-0.881765187
260,World,WLD,7.90E+13,,,,,,,,,,,10.9064913,10.7,,,,
261,"Yemen, Rep.",YEM,43228583935,28.2,24.2,26.4,18.1,8.5,999.8261,-1.410873294,334000,100000,,2.363770669,25.2,-2.665575027,-1.200264573,"Yemen, Rep.",-1.301007152
262,Zambia,ZMB,27150630607,16.4,24,22.4,16.5,6.9,1138.441,-0.499574661,,,26000,5.111717941,46.6,0.156212017,-0.23654902,Zambia,-0.109600693
263,Zimbabwe,ZWE,15891049236,26.2,24.9,26.7,17.3,7.7,961.7211,-1.210597754,,,23000,10.33992504,41.3,-0.713570178,-1.431254029,Zimbabwe,-1.256963611