country_name,country_code,percent_arable_land
Afghanistan,AFG,11.89382103
Albania,ALB,22.44890511
Algeria,DZA,3.133045589
American Samoa,ASM,15
Andorra,AND,1.723404255
Angola,AGO,3.930376193
Antigua and Barbuda,ATG,9.090909091
Argentina,ARG,14.323873
Armenia,ARM,15.69020021
Aruba,ABW,11.11111111
Australia,AUS,6.004191453
Austria,AUT,16.3118161
Azerbaijan,AZE,23.44095907
"Bahamas, The",BHS,0.799200799
Bahrain,BHR,2.075226978
Bangladesh,BGD,59.64669279
Barbados,BRB,25.58139535
Belarus,BLR,28.01734759
Belgium,BEL,27.39431968
Belize,BLZ,3.419552828
Benin,BEN,23.94466123
Bermuda,BMU,6
Bhutan,BTN,2.628748328
Bolivia,BOL,4.128588572
Bosnia and Herzegovina,BIH,20.09765625
Botswana,BWA,0.70403896
Brazil,BRA,9.573541482
British Virgin Islands,VGB,6.666666667
Brunei Darussalam,BRN,0.948766603
Bulgaria,BGR,32.32958732
Burkina Faso,BFA,21.92982456
Burundi,BDI,46.72897196
Cabo Verde,CPV,12.40694789
Cambodia,KHM,21.52730569
Cameroon,CMR,13.11586385
Canada,CAN,4.795332055
Cayman Islands,CYM,0.833333333
Central African Republic,CAF,2.889338342
Chad,TCD,3.891359593
Channel Islands,CHI,20.52631579
Chile,CHL,1.765895752
China,CHN,12.6754714
Colombia,COL,1.521946823
Comoros,COM,34.92745836
"Congo, Dem. Rep.",COD,3.131823295
"Congo, Rep.",COG,1.610541728
Costa Rica,CRI,4.543674109
Cote d'Ivoire,CIV,9.119496855
Croatia,HRV,15.08398856
Cuba,CUB,28.97231302
Curacao,CUW,..
Cyprus,CYP,10.7034632
Czech Republic,CZE,40.61124061
Denmark,DNK,55.98952131
Djibouti,DJI,0.086281277
Dominica,DMA,8
Dominican Republic,DOM,16.55971848
Ecuador,ECU,4.297793526
"Egypt, Arab Rep.",EGY,2.909096389
El Salvador,SLV,36.1969112
Equatorial Guinea,GNQ,4.278074866
Eritrea,ERI,6.831683168
Estonia,EST,15.79853739
Ethiopia,ETH,15.119
Faroe Islands,FRO,2.148997135
Fiji,FJI,9.031198686
Finland,FIN,7.378171169
France,FRA,33.74753679
French Polynesia,PYF,0.683060109
Gabon,GAB,1.261303217
"Gambia, The",GMB,43.47826087
Georgia,GEO,6.446970787
Germany,DEU,33.96501165
Ghana,GHA,20.65570889
Gibraltar,GIB,..
Greece,GRC,17.25368503
Greenland,GRL,0.002192715
Grenada,GRD,8.823529412
Guam,GUM,1.851851852
Guatemala,GTM,8.714072415
Guinea,GIN,12.61598567
Guinea-Bissau,GNB,10.6685633
Guyana,GUY,2.133604267
Haiti,HTI,38.82438316
Honduras,HND,9.116096166
"Hong Kong SAR, China",HKG,2.952380952
Hungary,HUN,48.7374351
Iceland,ISL,1.206982544
India,IND,52.62462204
Indonesia,IDN,12.97217331
"Iran, Islamic Rep.",IRN,9.017289226
Iraq,IRQ,11.59053233
Ireland,IRL,14.93685586
Isle of Man,IMN,40.70175439
Israel,ISR,13.73382625
Italy,ITA,22.44169443
Jamaica,JAM,11.08033241
Japan,JPN,11.52348036
Jordan,JOR,2.570398738
Kazakhstan,KAZ,10.88824684
Kenya,KEN,10.19081421
Kiribati,KIR,2.469135802
"Korea, Dem. PeopleÍs Rep.",PRK,19.51665144
"Korea, Rep.",KOR,15.02359458
Kosovo,XKX,..
Kuwait,KWT,0.432098765
Kyrgyz Republic,KGZ,6.676746611
Lao PDR,LAO,6.60745234
Latvia,LVA,19.77806369
Lebanon,LBN,12.90322581
Lesotho,LSO,8.969038208
Liberia,LBR,5.1910299
Libya,LBY,0.977528218
Liechtenstein,LIE,13.5
Lithuania,LTU,34.68856751
Luxembourg,LUX,24.24710425
"Macao SAR, China",MAC,..
"Macedonia, FYR",MKD,16.45519429
Madagascar,MDG,6.015812994
Malawi,MWI,40.30547306
Malaysia,MYS,2.90366763
Maldives,MDV,13
Mali,MLI,5.254099771
Malta,MLT,28.03125
Marshall Islands,MHL,11.11111111
Mauritania,MRT,0.436596488
Mauritius,MUS,36.45320197
Mexico,MEX,11.78687723
"Micronesia, Fed. Sts.",FSM,2.857142857
Moldova,MDA,55.45786431
Monaco,MCO,..
Mongolia,MNG,0.365096939
Montenegro,MNE,0.646840149
Morocco,MAR,18.21644634
Mozambique,MOZ,7.184821588
Myanmar,MMR,16.65798983
Namibia,NAM,0.971711062
Nauru,NRU,..
Nepal,NPL,14.74502965
Netherlands,NLD,30.66191748
New Caledonia,NCL,0.341356674
New Zealand,NZL,2.240704873
Nicaragua,NIC,12.49792255
Niger,NER,13.26280887
Nigeria,NGA,37.33104955
Northern Mariana Islands,MNP,2.173913043
Norway,NOR,2.205642788
Oman,OMN,0.122778675
Pakistan,PAK,39.48733914
Palau,PLW,2.173913043
Panama,PAN,7.573311811
Papua New Guinea,PNG,0.662456388
Paraguay,PRY,12.08155047
Peru,PER,3.2434375
Philippines,PHL,18.74769427
Poland,POL,35.5563539
Portugal,PRT,12.36141737
Puerto Rico,PRI,6.877113867
Qatar,QAT,1.12833764
Romania,ROU,38.06067455
Russian Federation,RUS,7.518031223
Rwanda,RWA,46.68423186
Samoa,WSM,2.826855124
San Marino,SMR,16.66666667
Sao Tome and Principe,STP,9.0625
Saudi Arabia,SAU,1.629072099
Senegal,SEN,16.62078637
Serbia,SRB,29.62497142
Seychelles,SYC,0.326086957
Sierra Leone,SLE,21.94513716
Singapore,SGP,0.789844852
Sint Maarten (Dutch part),SXM,..
Slovak Republic,SVK,28.75296369
Slovenia,SVN,9.138530288
Solomon Islands,SLB,0.714540907
Somalia,SOM,1.753435139
South Africa,ZAF,10.30426432
South Sudan,SSD,..
Spain,ESP,24.66445703
Sri Lanka,LKA,20.73034604
St. Kitts and Nevis,KNA,19.23076923
St. Lucia,LCA,4.918032787
St. Martin (French part),MAF,..
St. Vincent and the Grenadines,VCT,12.82051282
Sudan,SDN,8.343080808
Suriname,SUR,0.416666667
Swaziland,SWZ,10.1744186
Sweden,SWE,6.336696865
Switzerland,CHE,10.07946148
Syrian Arab Republic,SYR,25.3880085
Tajikistan,TJK,5.259896531
Tanzania,TZA,15.2404606
Thailand,THA,32.90336472
Timor-Leste,TLS,10.42367182
Togo,TGO,48.72219158
Tonga,TON,25
Trinidad and Tobago,TTO,4.873294347
Tunisia,TUN,18.66632338
Turkey,TUR,26.82457804
Turkmenistan,TKM,4.128274424
Turks and Caicos Islands,TCA,1.052631579
Tuvalu,TUV,..
Uganda,UGA,34.41053262
Ukraine,UKR,56.17484282
United Arab Emirates,ARE,0.448564593
United Kingdom,GBR,24.84602984
United States,USA,16.64540384
Uruguay,URY,13.77328305
Uzbekistan,UZB,10.34320639
Vanuatu,VUT,1.640689089
"Venezuela, RB",VEN,3.061050961
Vietnam,VNM,22.5690973
Virgin Islands (U.S.),VIR,2.857142857
West Bank and Gaza,PSE,10.63122924
"Yemen, Rep.",YEM,2.363770669
Zambia,ZMB,5.111717941
Zimbabwe,ZWE,10.33992504