code,control_of_corruption
AFG,-1.341970086
ALB,-0.479021192
DZA,-0.662879586
ASM,1.218488932
AND,1.218488932
AGO,-1.394753456
AIA,1.218488932
ATG,0.689627349
ARG,-0.547045171
ARM,-0.533811212
ABW,1.29709661
AUS,1.882090449
AUT,1.519258499
AZE,-0.929962456
BHS,1.135777473
BHR,0.138852224
BGD,-0.808318794
BRB,1.490511537
BLR,-0.335035771
BEL,1.573288798
BLZ,-0.222508013
BEN,-0.560777724
BMU,1.218488932
BTN,1.022311449
BOL,-0.696357191
BIH,-0.393897533
BWA,0.849635243
BRA,-0.396478355
BRN,0.572453856
BGR,-0.264636964
BFA,-0.283615232
BDI,-1.242423058
CPV,0.949543476
KHM,-1.117967606
CMR,-1.074333429
CAN,1.88655889
CYM,1.019112229
CAF,-1.308037281
TCD,-1.363942981
CHL,1.27995646
CHN,-0.282098532
COL,-0.29816556
COM,-0.719098568
COD,-1.285241485
COG,-1.196016788
COK,..
CRI,0.748421431
CIV,-0.433069408
HRV,0.245227292
CUB,0.070488244
CYP,1.007434011
CZE,0.433734417
DNK,2.211048841
DJI,-0.657611907
DMA,0.623419344
DOM,-0.818429589
ECU,-0.67123884
EGY,-0.642629683
SLV,-0.423664808
GNQ,-1.765860438
ERI,-1.301119447
EST,1.293634295
ETH,-0.450164944
FJI,0.169921458
FIN,2.275295973
FRA,1.305651546
GUF,1.019112229
GAB,-0.714149475
GMB,-0.770209014
GEO,0.679609179
DEU,1.837866783
GHA,-0.197833717
GRC,-0.076607928
GRL,1.19053793
GRD,0.556010067
GUM,1.218488932
GTM,-0.733183742
GIN,-0.986487746
GNB,-1.482566833
GUY,-0.635309577
HTI,-1.237499833
HND,-0.566694617
HKG,1.651295543
HUN,0.148638025
ISL,1.939086556
IND,-0.352008492
IDN,-0.458355933
IRN,-0.604570687
IRQ,-1.368854642
IRL,1.615352988
ISR,0.942997754
ITA,0.016268654
JAM,-0.231597006
JPN,1.569163561
JEY,1.19053793
JOR,0.2600739
KAZ,-0.852624595
KEN,-1.008768797
KIR,0.220115751
PRK,-1.247925758
KOR,0.373621315
XKX,-0.535536468
KWT,-0.225088716
KGZ,-1.149693012
LAO,-0.911583006
LVA,0.4681741
LBN,-0.883750379
LSO,0.06802655
LBR,-0.647266626
LBY,-1.616902709
LIE,2.064363241
LTU,0.617650509
LUX,2.096661568
MAC,0.611759305
MKD,-0.256072164
MDG,-0.848951161
MWI,-0.762178659
MYS,0.235073954
MDV,-0.479377955
MLI,-0.68613261
MLT,0.900366247
MHL,-0.115129687
MTQ,1.218488932
MRT,-0.923295498
MUS,0.300832063
MEX,-0.765919805
FSM,0.680440605
MDA,-0.911234438
MCO,..
MNG,-0.491614044
MNE,-0.131804168
MAR,-0.220332846
MOZ,-0.748843312
MMR,-0.836168349
NAM,0.315799117
NRU,-0.524677753
NPL,-0.578034759
NLD,1.884274602
ANT,..
NZL,2.275603294
NIC,-0.888269782
NER,-0.641647696
NGA,-1.083716273
NIU,..
NOR,2.242776155
OMN,0.268915087
PAK,-0.810739458
PLW,-0.524677753
PAN,-0.370722234
PNG,-0.939784527
PRY,-0.94699657
PER,-0.533828318
PHL,-0.453459442
POL,0.669516563
PRT,0.964715838
PRI,0.086151943
QAT,0.891468287
REU,0.632476032
ROU,-0.017641444
RUS,-0.949134231
RWA,0.635707915
WSM,0.291007251
SMR,..
STP,-0.045158159
SAU,0.05213923
SEN,0.060930226
SRB,-0.267041594
SYC,0.883601069
SLE,-0.793377042
SGP,2.092689753
SVK,0.177863732
SVN,0.772991776
SLB,-0.340828776
SOM,-1.615134954
ZAF,0.032504108
SSD,-1.687486291
ESP,0.583896518
LKA,-0.344145656
KNA,0.504498124
LCA,0.617759764
VCT,0.674695849
SDN,-1.487211943
SUR,-0.239103839
SWZ,-0.387836426
SWE,2.241100788
CHE,2.136446953
SYR,-1.545692086
TWN,0.773740649
TJK,-1.125687242
TZA,-0.682069421
THA,-0.493388325
TLS,-0.521616638
TGO,-0.725685239
TON,-0.467383295
TTO,-0.300722331
TUN,-0.072226919
TUR,-0.154374734
TKM,-1.346609712
TUV,-0.032991812
UGA,-1.052032351
UKR,-0.979897141
ARE,1.071916342
GBR,1.876348734
USA,1.396919131
URY,1.316839099
UZB,-1.261937737
VUT,-0.116807334
VEN,-1.391296983
VNM,-0.426185668
VIR,0.632476032
PSE,-0.453321278
YEM,-1.474036217
ZMB,-0.339607358
ZWE,-1.304160357