code,voice_and_accountability
AFG,-1.117505312
ALB,0.157129541
DZA,-0.838549674
ASM,..
AND,1.194394946
AGO,-1.177190065
AIA,..
ATG,0.594947338
ARG,0.411753088
ARM,-0.536270857
ABW,1.273855329
AUS,1.355499983
AUT,1.383440137
AZE,-1.552303314
BHS,0.951407492
BHR,-1.312996626
BGD,-0.512025654
BRB,1.0964607
BLR,-1.464999676
BEL,1.387346864
BLZ,0.57808888
BEN,0.29881677
BMU,..
BTN,-0.034825899
BOL,-0.004678981
BIH,-0.098104686
BWA,0.436190367
BRA,0.458814234
BRN,-0.754111826
BGR,0.432537317
BFA,-0.112959318
BDI,-1.288651705
CPV,0.957939088
KHM,-1.122556925
CMR,-0.954875112
CAN,1.46702826
CYM,0.469122529
CAF,-1.225461721
TCD,-1.335111856
CHL,1.004418135
CHN,-1.660686493
COL,0.003917276
COM,-0.291163325
COD,-1.303839207
COG,-1.016824961
COK,..
CRI,1.151499629
CIV,-0.405193686
HRV,0.55546391
CUB,-1.558034897
CYP,1.031512141
CZE,1.042688489
DNK,1.552722931
DJI,-1.412069201
DMA,0.878824592
DOM,0.154249504
ECU,-0.211751625
EGY,-1.184813142
SLV,0.1523709
GNQ,-2.00014019
ERI,-2.106695175
EST,1.186782837
ETH,-1.298288226
FJI,0.027769133
FIN,1.543483734
FRA,1.206558228
GUF,1.273855329
GAB,-0.894109726
GMB,-1.45999217
GEO,0.274561763
DEU,1.421901703
GHA,0.495470196
GRC,0.651494741
GRL,1.273855329
GRD,0.806000173
GUM,..
GTM,-0.346392214
GIN,-0.857955515
GNB,-0.74958986
GUY,0.184057221
HTI,-0.798660874
HND,-0.421736807
HKG,0.514768839
HUN,0.559930801
ISL,1.376409292
IND,0.427834779
IDN,0.184837207
IRN,-1.513511062
IRQ,-1.127883315
IRL,1.334583402
ISR,0.744865775
ITA,1.034700036
JAM,0.608724177
JPN,0.98798573
JEY,1.273855329
JOR,-0.769348204
KAZ,-1.163727641
KEN,-0.146467701
KIR,0.978859186
PRK,-2.201836824
KOR,0.630966604
XKX,-0.150832325
KWT,-0.663633525
KGZ,-0.404146224
LAO,-1.753418684
LVA,0.846473753
LBN,-0.462531269
LSO,0.117346577
LBR,-0.221026897
LBY,-1.341562867
LIE,1.38757658
LTU,0.973841727
LUX,1.546707153
MAC,-0.067366041
MKD,-0.181900084
MDG,-0.378629118
MWI,-0.005267241
MYS,-0.391462833
MDV,-0.517891109
MLI,-0.204381034
MLT,1.202726364
MHL,1.178745627
MTQ,..
MRT,-0.887845755
MUS,0.822020531
MEX,-0.075364098
FSM,1.134656787
MDA,0.028581616
MCO,1.017086744
MNG,0.270232141
MNE,0.144006342
MAR,-0.628278553
MOZ,-0.270031184
MMR,-1.218918324
NAM,0.571722925
NRU,0.546806276
NPL,-0.415425479
NLD,1.561038971
ANT,..
NZL,1.554741502
NIC,-0.414739907
NER,-0.212657124
NGA,-0.366597325
NIU,..
NOR,1.68780148
OMN,-1.061398745
PAK,-0.722032487
PLW,1.200789928
PAN,0.558467448
PNG,0.044731397
PRY,-0.069941297
PER,0.227344468
PHL,0.147050843
POL,1.039663672
PRT,1.128600121
PRI,0.403686821
QAT,-1.144710541
REU,..
ROU,0.486097127
RUS,-1.087691426
RWA,-1.135152102
WSM,0.735778809
SMR,1.189767718
STP,0.280032039
SAU,-1.842594862
SEN,0.279269904
SRB,0.231035233
SYC,0.080095395
SLE,-0.264879495
SGP,-0.161821589
SVK,0.965366244
SVN,0.98675704
SLB,0.284497738
SOM,-2.00137043
ZAF,0.654223859
SSD,-1.594442725
ESP,1.044758558
LKA,-0.296132624
KNA,0.847392201
LCA,1.022595406
VCT,0.968703866
SDN,-1.773252249
SUR,0.411360741
SWZ,-1.401209831
SWE,1.565205693
CHE,1.558397055
SYR,-1.922374964
TWN,0.898425698
TJK,-1.569000721
TZA,-0.229618371
THA,-0.969056308
TLS,0.186130628
TGO,-0.698528349
TON,0.661607802
TTO,0.480495065
TUN,0.242010027
TUR,-0.36770758
TKM,-2.23740983
TUV,1.068523526
UGA,-0.57071203
UKR,-0.086803623
ARE,-1.112367868
GBR,1.297748923
USA,1.109744549
URY,1.143324971
UZB,-1.956031203
VUT,0.592932522
VEN,-1.091030121
VNM,-1.358792901
VIR,..
PSE,-0.98578614
YEM,-1.523371577
ZMB,-0.070258692
ZWE,-1.167998791